Crop,State,District,Season,Year,Area,Production,Yield,Rainfall,Temperature,Humidity,pH,N,P,K,Pesticide_usage
Ginger,Madhya Pradesh,Indore,Kharif,2004,11695.15,173454.28,14.8313,1924.79,25.71,71.19,6.46,62.35,53.07,109.61,2.64
Potato,Karnataka,Belagavi,Rabi,2015,31475.78,748859.17,23.7916,614.31,21.45,67.6,6.29,82.12,75.46,,13.46
Sugarcane,Odisha,Sambalpur,Whole Year,2004,27627.45,1890546.4,68.43,1538.21,34.26,70.97,6.47,129.72,60.06,98.62,6.66
Onion,Gujarat,Mehsana,Zaid,2021,26127.74,555190.96,21.2491,,26.78,,6.63,96.41,54.19,67.12,3.75
Chickpea,Assam,Dibrugarh,Rabi,2015,,48858.55,1.5491,458.02,27.6,59.0,,35.88,54.22,25.22,6.85
Bajra,West Bengal,Asansol,Kharif,2003,2620.79,2814.99,1.0741,258.81,37.69,37.52,6.9,56.98,23.65,20.43,4.5
Sunflower,Maharashtra,Kolhapur,Zaid,2022,29137.57,43231.41,1.4837,,27.97,,6.36,72.74,47.66,48.8,18.53
Potato,Haryana,Hisar,Rabi,2000,14206.24,380784.06,26.804,851.63,,72.8,6.04,102.46,60.57,140.19,7.48
Jowar,West Bengal,Howrah,Kharif,2001,7621.7,11148.26,1.4627,412.31,32.93,40.06,6.52,75.34,41.85,28.72,10.14
Sunflower,Maharashtra,Amravati,Zaid,2007,199.08,344.19,1.7289,594.82,21.82,68.46,6.22,96.18,58.84,41.88,10.28
Sugarcane,Rajasthan,Ajmer,Kharif,2013,16055.88,1324030.48,82.4639,1339.26,29.67,69.23,7.21,111.88,62.56,81.47,3.34
Onion,Punjab,Ludhiana,Zaid,2015,42448.67,1014510.48,23.8997,305.8,,73.85,6.86,99.62,58.93,91.74,15.2
Groundnut,Bihar,Darbhanga,Zaid,2000,24659.17,40961.35,1.6611,439.18,,66.84,6.26,26.78,,85.54,17.69
Maize,West Bengal,Asansol,Zaid,2016,26625.94,131156.72,4.9259,1061.75,26.63,76.9,6.1,118.69,54.59,64.7,16.51
Wheat,Telangana,Hyderabad,Rabi,2011,17655.18,,3.5668,890.47,13.38,57.94,6.19,68.58,50.89,42.95,19.58
Turmeric,Gujarat,Surat,Kharif,2019,5113.13,43962.18,8.5979,,33.52,67.87,6.05,87.14,45.32,139.29,7.6
Bajra,Telangana,Nizamabad,Kharif,2002,49604.37,62382.46,1.2576,464.93,37.44,50.6,5.6,62.76,32.44,29.42,10.11
Potato,Gujarat,Mehsana,Whole Year,2019,28817.73,817048.93,28.3523,579.88,19.56,65.15,5.94,111.89,85.71,130.62,11.72
Onion,Odisha,Cuttack,Rabi,2002,17848.36,481853.96,26.9971,465.17,22.96,66.05,7.12,62.97,65.7,94.41,10.65
Coffee,Assam,Jorhat,Whole Year,2001,16089.21,26732.22,1.6615,,26.72,88.44,6.13,103.85,60.24,98.92,16.32
Bajra,Assam,Dibrugarh,Kharif,2018,18026.81,28112.81,1.5595,531.92,30.22,52.36,6.79,,21.12,35.78,
Tea,Tamil Nadu,Coimbatore,Whole Year,2010,20492.72,52971.63,2.5849,2995.43,25.25,84.47,5.07,,22.01,72.52,0.62
Maize,Haryana,Hisar,Zaid,2010,5751.31,,4.1621,886.91,21.45,70.6,6.93,85.32,45.26,63.98,11.66
Sunflower,Haryana,Gurugram,Zaid,2004,13467.99,,1.7049,737.32,26.34,43.7,6.23,73.73,43.98,50.14,11.48
Barley,Assam,Silchar,Rabi,2021,40631.24,116753.87,2.8735,645.19,21.07,38.91,7.0,62.49,47.95,40.31,7.0
Wheat,Rajasthan,Bikaner,Rabi,2019,31057.06,105656.12,3.402,902.82,17.23,67.04,6.76,76.93,52.46,48.04,13.38
Potato,Telangana,Hyderabad,Rabi,2016,7029.72,214388.18,30.4974,932.98,15.75,67.75,5.9,121.94,83.86,146.91,10.61
Rice,Telangana,Warangal,Kharif,2013,11866.53,49802.64,4.1969,1276.95,28.06,,6.63,,44.85,54.61,9.05
Mustard,West Bengal,Howrah,Rabi,2023,23423.87,49213.55,2.101,617.32,20.29,58.48,7.25,76.68,39.87,43.49,18.06
Coffee,Maharashtra,Aurangabad,Whole Year,2020,1241.61,2554.49,2.0574,1898.49,27.92,74.55,5.76,135.28,57.68,118.74,1.5
Potato,Maharashtra,Nashik,Whole Year,2005,28779.01,848244.05,29.4744,736.62,19.37,75.34,6.21,127.87,77.26,108.84,13.28
Groundnut,Madhya Pradesh,Ujjain,Kharif,2011,28241.88,48175.0,1.7058,512.88,29.97,61.45,,26.44,42.81,81.71,16.77
Sugarcane,Punjab,Patiala,Whole Year,2008,8157.89,672569.9,82.4441,1950.47,27.21,78.87,7.2,142.26,67.15,80.8,10.52
Cotton,West Bengal,Siliguri,Kharif,2006,42616.63,93863.13,2.2025,627.72,26.8,47.53,7.69,,27.62,48.75,15.11
Tomato,Bihar,Bhagalpur,Whole Year,2000,19176.62,646098.68,33.692,1007.31,22.8,64.84,,95.08,67.14,115.05,7.26
Rice,Assam,Guwahati,Kharif,2006,46958.98,178016.8,3.7909,1361.8,24.17,76.05,6.8,90.51,47.97,47.65,15.46
Onion,Telangana,Warangal,Zaid,2003,,,17.9311,322.93,16.15,56.58,6.55,62.97,49.93,79.82,8.17
Sunflower,Punjab,Jalandhar,Zaid,2005,20450.76,26518.5,1.2967,560.34,20.21,53.13,6.37,77.84,42.54,46.42,16.17
Groundnut,Bihar,Patna,Kharif,2016,35309.43,51767.16,1.4661,677.25,34.78,69.64,6.66,18.29,38.87,78.96,7.43
Bajra,Uttar Pradesh,Lucknow,Kharif,2007,,61042.17,1.2302,477.33,34.36,46.67,5.62,48.9,27.36,31.88,10.17
Tea,Assam,Dibrugarh,Whole Year,2014,38852.07,87040.29,2.2403,1763.48,19.55,79.92,4.73,95.56,36.54,56.72,6.01
Tomato,Andhra Pradesh,Visakhapatnam,Zaid,2004,24533.19,839628.8,34.2242,663.46,21.42,67.14,6.07,98.37,82.19,100.85,5.17
Chickpea,Gujarat,Ahmedabad,Rabi,2021,38640.61,53799.32,1.3923,504.98,24.82,53.71,6.58,19.25,43.62,20.58,9.36
Jowar,Rajasthan,Jodhpur,Kharif,2005,19041.47,28308.95,1.4867,763.06,34.21,59.87,6.6,56.96,25.56,33.93,19.99
Onion,Punjab,Jalandhar,Rabi,2014,25295.08,616190.68,24.3601,504.14,21.5,70.59,7.39,74.19,60.86,67.35,
Onion,Gujarat,Ahmedabad,Rabi,2005,10905.7,244729.36,22.4405,698.85,19.62,59.66,6.18,76.98,65.27,70.19,13.76
Sugarcane,Telangana,Khammam,Whole Year,2006,19454.83,1733503.17,89.104,1607.71,30.92,67.26,6.7,151.4,72.17,76.18,5.58
Bajra,Gujarat,Mehsana,Kharif,2014,,42336.72,1.4868,240.98,32.81,53.33,5.76,68.13,37.5,38.88,11.14
Cotton,Odisha,Bhubaneswar,Kharif,2019,15229.75,35698.53,2.344,1003.17,26.24,68.7,5.86,77.42,47.39,48.75,2.5
Maize,Bihar,Patna,Zaid,2016,33936.17,171303.0,5.0478,1063.99,23.2,55.25,6.56,,54.27,46.42,2.26
Sunflower,Rajasthan,Ajmer,Zaid,2013,48563.14,52627.87,1.0837,585.95,21.0,,,65.82,40.81,40.66,7.04
Jowar,Tamil Nadu,Salem,Kharif,2000,49137.48,80870.46,1.6458,763.99,33.17,41.6,6.87,,49.34,25.68,16.14
Coffee,Andhra Pradesh,Kakinada,Whole Year,2011,15557.03,27777.08,1.7855,1564.64,23.85,72.6,6.07,98.74,62.67,100.62,15.7
Onion,Gujarat,Ahmedabad,Zaid,2001,44175.68,1028507.02,23.2822,560.74,21.44,73.45,7.35,99.07,64.92,61.27,19.77
Sugarcane,Haryana,Faridabad,Kharif,2008,45929.96,3833011.32,83.4534,1657.78,27.41,69.68,6.17,143.18,51.44,104.89,1.48
Tomato,West Bengal,Siliguri,Zaid,2009,9537.36,367735.8,38.5574,687.85,21.96,67.86,6.1,107.16,62.47,102.2,3.88
Sugarcane,Assam,Jorhat,Kharif,2023,3831.64,342875.45,89.4853,1309.37,33.05,69.57,6.19,151.63,74.49,100.64,1.38
Tea,West Bengal,Durgapur,Whole Year,2001,45206.06,123371.86,2.7291,2926.15,19.22,83.38,5.22,135.42,29.92,74.64,6.36
Barley,Uttar Pradesh,Kanpur,Rabi,2011,14736.84,43516.41,2.9529,704.22,22.32,49.97,6.35,60.35,51.78,38.87,4.92
Maize,Tamil Nadu,Madurai,Kharif,2003,9559.15,41506.79,4.3421,694.25,24.15,59.1,6.53,106.93,52.86,53.69,4.74
Onion,Punjab,Bathinda,Zaid,2003,16776.9,346942.94,20.6798,485.03,16.25,69.92,6.26,68.5,58.55,82.5,2.73
Onion,Uttar Pradesh,Lucknow,Zaid,2003,23954.43,658416.25,27.4862,686.95,26.45,61.34,6.87,90.22,50.58,91.39,14.47
Tea,Assam,Guwahati,Whole Year,2000,667.77,1326.19,1.986,2231.42,17.19,87.59,4.95,117.96,29.04,42.39,3.84
Turmeric,Uttar Pradesh,Bareilly,Kharif,2001,5113.28,39373.79,7.7003,,31.46,66.75,6.23,,44.92,137.11,6.81
Maize,Uttar Pradesh,Agra,Kharif,2016,49956.43,202458.42,4.0527,896.64,22.45,52.43,6.11,115.48,41.76,43.84,1.69
Onion,Haryana,Faridabad,Zaid,2006,43416.97,1424080.96,32.8001,657.94,18.76,,6.96,98.39,68.3,95.27,10.02
Onion,Karnataka,Belagavi,Rabi,2007,19394.8,,27.1897,667.12,15.89,73.27,7.25,85.91,69.75,69.46,0.91
Jowar,West Bengal,Howrah,Kharif,2003,17260.77,26959.6,1.5619,592.26,26.06,67.12,6.61,84.87,37.63,31.01,19.62
Potato,Rajasthan,Kota,Whole Year,2015,30347.8,762327.63,25.1197,624.05,18.09,81.91,5.74,95.58,77.74,140.93,16.64
Onion,Madhya Pradesh,Indore,Zaid,2020,45899.2,,19.4063,336.06,,71.24,,82.15,41.47,83.59,2.0
Tea,Maharashtra,Kolhapur,Whole Year,2006,7948.0,20270.58,2.5504,2919.98,18.64,80.87,4.64,112.97,30.39,57.98,14.1
Onion,Rajasthan,Jaipur,Rabi,2003,35562.3,787064.82,22.132,406.23,26.78,66.09,7.47,97.47,59.8,60.28,3.54
Jowar,Gujarat,Ahmedabad,Kharif,2006,40756.95,66091.47,1.6216,886.85,27.31,,6.8,82.69,25.35,40.73,4.82
Jowar,Uttar Pradesh,Bareilly,Kharif,2013,11302.29,16573.68,1.4664,640.91,34.92,52.14,6.16,76.35,44.46,41.91,16.52
Wheat,Rajasthan,Ajmer,Rabi,2009,26952.95,92365.06,3.4269,855.94,20.31,55.61,7.12,73.44,57.86,51.18,11.12
Sugarcane,West Bengal,Siliguri,Kharif,2000,24818.36,1648976.51,66.4418,1008.95,25.02,72.11,6.14,115.14,,89.64,17.93
Sunflower,Rajasthan,Jodhpur,Zaid,2018,32308.68,67654.38,2.094,744.59,28.06,40.05,6.53,96.94,58.93,57.55,12.9
Cotton,West Bengal,Howrah,Kharif,2006,4327.23,8552.34,1.9764,903.64,25.05,47.27,7.48,68.54,30.76,40.01,18.74
Potato,Madhya Pradesh,Gwalior,Whole Year,2022,40241.63,1154472.0,28.6885,608.67,16.07,77.31,6.23,119.56,88.79,144.37,11.85
Turmeric,Bihar,Muzaffarpur,Kharif,2010,1538.88,13704.96,8.9058,2214.27,20.72,72.13,6.44,96.43,57.82,110.92,15.38
Bajra,Haryana,Ambala,Kharif,2015,,56056.68,1.1225,,33.34,58.57,5.93,66.84,28.11,21.51,19.64
Sunflower,Karnataka,Mysuru,Zaid,2006,36784.42,54326.91,1.4769,600.88,28.74,62.53,6.18,83.08,43.26,,2.45
Cotton,Uttar Pradesh,Lucknow,Kharif,2005,,31073.89,1.9333,1053.95,34.56,57.56,6.17,72.95,28.3,36.83,13.82
Sugarcane,Madhya Pradesh,Ujjain,Kharif,2007,33869.73,2453052.45,72.4261,1755.68,28.84,78.64,7.16,,53.67,76.5,7.15
Potato,Uttar Pradesh,Kanpur,Whole Year,2012,48250.75,1269617.16,26.3129,887.72,16.49,66.53,5.46,118.6,60.81,147.87,12.67
Wheat,Bihar,Bhagalpur,Rabi,2016,25896.83,88965.97,3.4354,,10.03,42.31,6.69,73.88,50.86,58.93,14.29
Maize,Andhra Pradesh,Kurnool,Kharif,2017,18876.68,89422.61,4.7372,945.15,22.69,65.03,6.96,104.47,45.03,63.14,0.9
Potato,Madhya Pradesh,Indore,Whole Year,2015,32164.34,872428.77,27.1241,689.11,17.53,,5.14,123.87,73.17,141.45,18.89
Sugarcane,Madhya Pradesh,Rewa,Whole Year,2015,37898.66,3258341.08,85.9751,1782.83,25.74,75.47,6.63,100.42,64.9,99.5,2.52
Barley,Uttar Pradesh,Agra,Rabi,2003,1682.23,5329.47,3.1681,657.97,21.44,,6.8,73.66,49.87,50.22,15.77
Tomato,Karnataka,Bengaluru,Zaid,2021,17705.95,714516.53,40.3546,931.95,26.02,74.64,6.89,94.65,82.36,103.98,8.59
Sugarcane,West Bengal,Siliguri,Kharif,2000,13360.01,1193942.68,89.3669,,33.1,72.81,6.08,149.11,74.32,89.81,9.91
Chickpea,Telangana,Hyderabad,Rabi,2006,23488.54,40731.48,1.7341,630.56,26.02,61.04,7.15,36.09,58.63,33.17,10.35
Sugarcane,Bihar,Muzaffarpur,Whole Year,2022,1118.63,84718.1,75.7338,1883.84,26.07,78.05,6.77,111.51,67.53,76.05,12.28
Sunflower,Maharashtra,Aurangabad,Rabi,2007,35303.66,51366.83,1.455,513.25,22.91,62.25,7.16,,59.39,45.95,12.14
Onion,Odisha,Sambalpur,Rabi,2017,32364.26,,20.4578,338.34,15.97,52.21,6.86,68.73,46.8,77.23,8.26
Mustard,West Bengal,Durgapur,Rabi,2013,10232.6,20353.66,1.9891,290.42,24.15,65.0,6.96,,32.48,48.96,18.29
Onion,Telangana,Hyderabad,Zaid,2008,28823.98,542597.01,18.8245,542.65,27.81,62.94,6.64,61.13,51.47,69.86,7.68
Groundnut,Uttar Pradesh,Varanasi,Zaid,2010,34640.66,73008.66,2.1076,801.83,33.35,,6.12,27.51,44.15,82.95,17.84
Chickpea,Haryana,Faridabad,Rabi,2009,40346.7,59406.48,1.4724,307.6,29.09,69.34,6.48,17.16,50.82,37.17,15.45
Potato,Bihar,Darbhanga,Whole Year,2015,49215.64,1270678.92,25.8186,763.67,22.8,69.93,5.59,82.98,85.09,110.27,19.04
Chickpea,Madhya Pradesh,Gwalior,Rabi,2005,28820.63,48787.56,1.6928,602.4,17.51,52.48,6.38,31.75,43.39,24.83,11.13
Tomato,Punjab,Jalandhar,Zaid,2018,15437.29,582146.38,37.7104,1089.25,25.23,64.54,6.63,,78.03,88.0,18.93
Sugarcane,Assam,Jorhat,Whole Year,2021,45667.91,3792893.46,83.0538,1084.33,34.51,65.1,7.16,146.12,79.51,89.06,
Cotton,Andhra Pradesh,Guntur,Kharif,2001,12124.15,24460.47,2.0175,971.05,26.16,51.31,6.81,69.05,37.29,29.27,11.08
Sugarcane,Telangana,Hyderabad,Kharif,2008,38049.22,2610001.47,68.5954,1239.75,25.89,89.54,6.44,111.01,51.24,94.77,18.12
Potato,West Bengal,Siliguri,Whole Year,2003,36706.9,1132562.03,30.8542,722.53,22.54,79.28,5.04,124.6,66.52,136.28,3.99
Potato,Uttar Pradesh,Varanasi,Rabi,2013,36510.29,958435.27,26.2511,978.75,17.45,83.65,6.25,82.78,80.56,104.56,11.25
Jowar,Haryana,Gurugram,Kharif,2009,9393.88,,1.534,550.12,34.48,55.24,6.84,76.46,37.31,,19.01
Tomato,Haryana,Ambala,Whole Year,2002,15630.1,584801.75,37.4151,891.33,21.32,74.49,6.41,87.49,80.79,90.3,3.24
Tomato,Bihar,Bhagalpur,Zaid,2022,5945.96,166221.1,27.9553,600.04,28.89,60.15,6.77,90.78,72.12,99.48,9.68
Ginger,Telangana,Nizamabad,Kharif,2006,17637.86,276842.09,15.6959,2537.92,20.49,85.02,6.46,74.19,41.62,97.98,0.68
Groundnut,Tamil Nadu,Salem,Kharif,2020,14751.9,17582.79,1.1919,571.62,26.48,64.87,5.86,15.02,35.4,66.53,16.72
Wheat,Telangana,Nizamabad,Rabi,2003,30267.9,105156.74,3.4742,646.97,17.14,60.42,7.31,75.74,53.01,55.24,15.92
Sunflower,Uttar Pradesh,Bareilly,Zaid,2002,42310.27,70962.78,1.6772,584.71,21.24,57.13,6.0,81.39,41.3,45.19,4.41
Sunflower,Karnataka,Hubli,Rabi,2022,,5592.02,1.8201,796.67,27.08,61.32,6.69,88.23,47.66,46.41,15.51
Maize,Karnataka,Mangaluru,Kharif,2000,23043.7,93619.64,4.0627,874.31,29.69,50.97,6.2,108.25,63.93,51.28,
Tomato,Haryana,Ambala,Zaid,2021,39644.59,1229953.58,31.0245,784.06,20.36,70.01,6.39,111.28,62.66,83.19,11.36
Bajra,Madhya Pradesh,Gwalior,Kharif,2005,9840.88,16249.26,1.6512,549.9,34.16,54.06,5.59,65.97,33.47,36.58,2.64
Tomato,Maharashtra,Aurangabad,Whole Year,2009,38793.32,1466647.41,37.8067,1006.76,27.28,67.23,6.78,90.47,73.47,86.07,
Sunflower,Telangana,Nizamabad,Zaid,2006,11692.85,,1.3684,467.88,24.01,52.42,7.34,63.75,45.26,42.46,4.31
Coffee,Madhya Pradesh,Ujjain,Whole Year,2005,2653.16,4853.43,1.8293,1767.53,21.52,76.45,6.0,130.58,59.21,80.44,10.77
Tea,Karnataka,Belagavi,Whole Year,2018,16718.92,34867.31,2.0855,1806.4,26.12,75.9,4.86,117.59,22.63,57.49,12.81
Maize,Rajasthan,Jaipur,Zaid,2017,1781.12,7935.07,4.4551,1035.95,27.03,58.99,6.13,105.59,43.5,53.95,9.08
Maize,West Bengal,Asansol,Zaid,2017,,130310.85,3.9437,638.03,25.28,66.61,6.03,87.89,62.51,45.21,7.29
Sunflower,Bihar,Muzaffarpur,Rabi,2020,23718.73,38433.83,1.6204,689.88,21.77,62.71,6.99,77.92,43.68,52.2,4.35
Groundnut,Telangana,Nizamabad,Zaid,2008,24855.23,36288.64,1.46,762.4,26.26,68.03,6.12,16.2,45.74,76.67,16.09
Onion,West Bengal,Howrah,Rabi,2010,9130.56,,26.4919,473.97,20.48,57.13,7.19,90.7,69.02,74.43,12.55
Barley,Maharashtra,Nagpur,Rabi,2011,48959.64,,3.1275,472.33,22.43,49.32,7.36,65.07,47.33,36.56,11.72
Tomato,Madhya Pradesh,Jabalpur,Whole Year,2006,36302.46,1232904.15,33.962,1083.14,25.09,65.49,6.95,83.19,82.99,92.43,15.42
Sunflower,Gujarat,Vadodara,Rabi,2023,34409.08,45977.41,1.3362,,31.53,46.41,7.5,61.53,45.83,58.19,14.1
Turmeric,Telangana,Warangal,Kharif,2011,15157.36,149578.89,9.8684,2281.15,32.5,69.04,6.32,90.97,49.91,126.85,2.96
Tea,Andhra Pradesh,Kurnool,Whole Year,2011,1588.74,3233.4,2.0352,1527.41,15.67,75.32,5.12,108.95,25.44,58.93,11.42
Sunflower,West Bengal,Kolkata,Rabi,2021,30218.95,38063.79,1.2596,755.28,30.26,45.04,7.35,60.54,40.85,53.55,14.08
Sugarcane,Gujarat,Mehsana,Whole Year,2017,24431.63,,85.0024,1201.27,30.54,65.52,6.6,129.68,73.03,,15.4
Sunflower,Assam,Jorhat,Zaid,2019,5319.88,8510.74,1.5998,694.9,25.75,42.81,6.84,83.88,43.38,53.86,7.76
Cotton,Rajasthan,Kota,Kharif,2014,42176.1,84883.62,2.0126,864.07,27.94,47.45,7.28,70.46,35.4,29.6,2.8
Ginger,Haryana,Gurugram,Kharif,2015,38173.95,536611.22,14.057,2776.79,29.99,76.71,5.89,81.39,41.96,86.12,3.51
Sunflower,Karnataka,Mangaluru,Rabi,2012,46983.07,64108.4,1.3645,534.25,21.11,58.6,6.39,73.83,,46.01,12.77
Tomato,Maharashtra,Nashik,Whole Year,2018,7713.6,264643.59,34.3087,852.5,25.38,60.95,6.86,89.87,65.05,106.96,3.83
Chickpea,Telangana,Warangal,Rabi,2013,36951.0,49798.86,1.3477,383.96,24.22,46.36,6.76,17.77,57.7,25.62,8.44
Tomato,Andhra Pradesh,Visakhapatnam,Whole Year,2012,49984.89,2068784.62,41.3882,1197.64,23.43,75.12,6.23,92.9,85.27,114.92,12.68
Maize,Odisha,Cuttack,Zaid,2015,38398.41,160443.92,4.1784,833.07,20.27,77.12,5.82,106.15,42.36,41.52,1.08
Tomato,Punjab,Amritsar,Zaid,2022,44123.54,1612384.46,36.5425,846.14,23.18,68.77,6.61,104.62,83.89,94.86,
Onion,West Bengal,Siliguri,Zaid,2008,12063.42,300324.87,24.8955,598.17,15.99,51.69,6.23,97.81,62.05,85.61,3.38
Coffee,Maharashtra,Aurangabad,Whole Year,2013,1951.4,4215.41,2.1602,1912.63,26.79,78.59,6.36,133.89,68.75,100.87,1.05
Rice,Uttar Pradesh,Lucknow,Kharif,2022,46140.05,167497.61,3.6302,1125.29,28.99,73.81,5.97,91.89,58.11,41.07,3.16
Potato,Karnataka,Bengaluru,Whole Year,2022,34923.06,880200.8,25.204,618.35,,75.02,6.34,89.23,90.35,139.75,17.02
Sunflower,Telangana,Warangal,Zaid,2015,48167.59,86793.18,1.8019,505.28,26.19,65.54,6.11,99.32,53.34,42.27,2.54
Sugarcane,Madhya Pradesh,Jabalpur,Kharif,2010,29343.29,2370368.57,80.7806,1360.02,32.32,72.64,6.16,154.2,62.32,109.16,16.74
Tea,Maharashtra,Pune,Whole Year,2018,6929.66,17832.79,2.5734,,20.5,76.93,4.67,120.14,39.2,67.89,19.66
Tomato,West Bengal,Siliguri,Whole Year,2001,5174.94,210184.33,40.6158,1105.08,22.35,67.88,6.37,104.62,89.92,81.39,18.03
Maize,Uttar Pradesh,Lucknow,Kharif,2001,9248.32,37112.58,4.0129,847.06,25.7,52.46,5.95,83.71,48.36,61.57,0.72
Wheat,Haryana,Ambala,Rabi,2008,10833.83,34895.77,3.221,636.57,12.03,57.39,7.07,60.37,45.92,49.55,13.67
Chickpea,Uttar Pradesh,Varanasi,Rabi,2017,44532.54,66870.06,1.5016,677.57,26.15,49.39,6.44,26.72,43.91,21.86,17.96
Tomato,Madhya Pradesh,Ujjain,Whole Year,2000,25519.53,742039.03,29.0773,621.48,24.23,61.37,6.88,91.98,66.09,96.84,11.72
Potato,Assam,Dibrugarh,Whole Year,2006,35424.47,933994.49,26.3658,973.29,,65.52,5.1,113.58,64.91,111.93,15.62
Sunflower,Odisha,Sambalpur,Zaid,2003,18761.02,30666.76,1.6346,647.29,30.02,55.1,7.47,70.44,41.26,55.82,19.27
Potato,Punjab,Amritsar,Whole Year,2008,38852.51,1295781.72,33.3513,688.83,19.19,82.01,6.47,125.53,86.11,123.76,1.51
Cotton,West Bengal,Siliguri,Kharif,2022,15724.49,34446.07,2.1906,549.89,22.57,61.83,7.3,77.76,33.92,35.75,12.91
Sunflower,Punjab,Jalandhar,Rabi,2001,41334.31,72992.26,1.7659,465.34,24.15,56.2,6.13,95.58,51.59,46.26,19.07
Tomato,Uttar Pradesh,Kanpur,Zaid,2018,49025.79,1642878.74,33.5105,888.84,29.2,61.47,6.96,84.58,64.26,99.37,4.72
Cotton,Madhya Pradesh,Ujjain,Kharif,2014,26583.96,53662.38,2.0186,822.63,24.73,41.71,5.99,86.1,26.32,32.32,16.13
Chickpea,Punjab,Amritsar,Rabi,2014,4597.85,5486.61,1.1933,509.53,25.3,63.65,7.04,20.9,41.83,22.08,7.59
Groundnut,Maharashtra,Amravati,Kharif,2020,47416.59,86136.98,1.8166,726.56,33.01,72.38,6.63,15.25,41.76,85.98,14.48
Sunflower,Andhra Pradesh,Guntur,Rabi,2020,35182.72,49076.38,1.3949,685.78,21.76,41.83,6.03,82.55,57.79,42.2,19.04
Jowar,Gujarat,Ahmedabad,Kharif,2006,10377.13,16855.57,1.6243,,30.47,,7.38,68.11,31.94,40.09,7.79
Tea,West Bengal,Howrah,Whole Year,2002,44314.11,95359.53,2.1519,1981.33,21.66,89.88,4.9,91.96,23.54,71.97,3.04
Onion,Bihar,Bhagalpur,Rabi,2016,28171.35,566410.35,20.1059,375.21,24.42,63.4,7.47,78.78,47.79,66.44,5.24
Sunflower,Rajasthan,Ajmer,Zaid,2006,37410.81,52491.11,1.4031,400.1,21.22,62.99,7.32,86.23,43.44,42.17,5.19
Potato,Odisha,Rourkela,Whole Year,2019,49754.15,1301523.79,26.1591,511.36,24.72,84.3,5.57,87.11,94.49,124.86,19.11
Chickpea,Rajasthan,Kota,Rabi,2001,18930.17,24438.85,1.291,573.33,17.92,65.27,6.4,15.18,48.28,24.56,8.16
Mustard,Telangana,Khammam,Rabi,2010,,67528.43,2.0447,433.28,18.22,57.69,6.25,72.47,38.34,,7.12
Maize,Andhra Pradesh,Vijayawada,Kharif,2023,39932.32,204553.31,5.1225,957.09,,71.66,6.62,109.02,63.01,67.12,17.46
Groundnut,Bihar,Bhagalpur,Zaid,2012,6817.92,10714.36,1.5715,614.16,26.72,74.65,5.76,33.57,35.78,86.5,11.57
Coffee,Gujarat,Surat,Whole Year,2022,25057.35,49889.18,1.991,1707.86,26.11,79.38,6.42,129.22,69.93,89.9,15.5
Tomato,Andhra Pradesh,Visakhapatnam,Zaid,2002,15906.46,550605.29,34.6152,913.89,28.14,69.57,6.54,88.69,81.37,98.03,16.93
Chickpea,Andhra Pradesh,Kurnool,Rabi,2000,12976.67,,1.4624,566.41,24.22,58.97,6.34,20.59,47.4,23.32,5.31
Sunflower,Andhra Pradesh,Kakinada,Zaid,2006,33783.03,51306.29,1.5187,590.67,,48.42,6.92,63.81,,53.27,3.95
Sugarcane,Madhya Pradesh,Jabalpur,Kharif,2012,35931.65,2704963.36,75.2808,1177.7,33.44,86.82,6.7,131.95,58.83,77.09,2.52
Onion,Karnataka,Hubli,Zaid,2022,15312.41,351165.62,22.9334,551.84,,59.17,6.74,64.13,45.64,96.73,13.63
Groundnut,Rajasthan,Jaipur,Kharif,2013,44538.92,74896.65,1.6816,671.4,26.25,69.63,6.69,33.04,33.44,67.89,6.37
Soybean,Assam,Dibrugarh,Kharif,2014,34359.26,72274.7,2.1035,993.22,24.93,73.87,6.48,25.04,45.47,53.04,17.69
Tomato,Assam,Jorhat,Zaid,2016,15176.74,598125.95,39.4107,614.97,24.95,,6.98,83.09,85.63,86.08,0.7
Sugarcane,Karnataka,Belagavi,Whole Year,2022,46325.89,3200289.77,69.0821,1202.79,34.27,78.18,6.15,105.48,62.42,106.78,9.27
Onion,Uttar Pradesh,Allahabad,Rabi,2008,4498.27,107136.65,23.8173,629.84,,50.11,7.37,92.09,54.44,92.84,15.33
Groundnut,Tamil Nadu,Chennai,Zaid,2020,10189.62,15120.38,1.4839,628.23,29.61,57.98,5.92,28.71,41.1,62.26,4.87
Sunflower,Bihar,Patna,Zaid,2015,,,1.6079,679.67,22.27,57.11,7.39,65.51,44.47,58.01,7.23
Maize,Madhya Pradesh,Rewa,Zaid,2023,20920.38,91173.11,4.3581,841.79,20.31,63.4,6.02,90.7,66.75,65.37,3.28
Sugarcane,Assam,Silchar,Whole Year,2004,23935.42,1848575.57,77.2318,1828.02,26.19,78.11,6.67,100.37,67.89,96.16,13.46
Sugarcane,Uttar Pradesh,Lucknow,Whole Year,2004,,1540596.17,90.2103,1944.1,24.47,75.08,6.09,139.21,78.7,107.74,6.53
Tomato,Rajasthan,Jaipur,Zaid,2023,29202.64,954809.52,32.696,864.11,28.12,66.3,6.44,102.35,76.27,84.93,
Sugarcane,Odisha,Rourkela,Whole Year,2006,41620.09,3492412.51,83.9117,1478.74,32.1,87.0,7.34,145.22,63.98,100.3,9.36
