temperature,rainfall,humidity,soil_pH,nitrogen,phosphorus,potassium,solar_radiation,wind_speed,soil_moisture,crop_type,yield,yield_category,crop_name
19.65,797.24,97.78,6.41,194.51,60.87,86.06,11.71,3.55,60.92,6,7.868,Medium,Barley
18.21,951.14,54.7,6.85,94.83,33.29,65.16,14.27,5.52,49.27,5,7.755,Medium,Sugarcane
28.35,611.18,89.36,6.63,148.08,37.37,50.11,8.86,4.66,45.88,7,7.352,Low,Millet
33.28,838.02,70.75,5.91,173.54,60.32,95.62,14.87,3.49,61.93,2,8.235,High,Maize
37.1,1083.06,72.49,6.1,84.15,51.91,73.16,21.07,3.83,64.03,0,7.231,Low,Rice
24.25,947.09,39.62,5.59,100.58,33.74,84.28,16.34,3.94,24.2,5,7.605,Medium,Sugarcane
33.47,724.04,62.44,6.32,189.52,26.12,72.96,19.84,4.1,32.75,4,8.086,Medium,Cotton
26.77,967.26,52.81,7.36,81.0,43.07,79.85,11.91,0.76,43.42,0,8.046,Medium,Rice
25.96,1114.38,77.42,6.5,66.35,63.88,68.77,21.19,3.05,46.48,2,8.197,High,Maize
32.3,285.02,81.07,7.19,181.12,59.87,55.8,15.78,1.27,41.61,1,7.505,Medium,Wheat
30.91,1247.72,33.88,7.66,167.87,49.98,91.84,18.05,5.42,51.51,3,7.534,Medium,Soybean
17.54,799.12,64.67,6.03,137.28,64.04,64.92,17.63,3.41,59.94,7,7.769,Medium,Millet
35.86,1027.65,81.83,6.35,118.17,80.8,84.1,12.91,3.21,70.84,6,6.824,Low,Barley
35.28,1259.17,62.2,8.24,102.46,67.88,90.26,13.39,4.85,53.68,2,6.216,Low,Maize
23.25,488.5,75.94,7.66,131.28,57.57,65.33,21.87,4.13,32.21,5,7.988,Medium,Sugarcane
29.37,687.17,70.27,5.16,183.19,78.56,49.9,19.6,1.81,42.79,7,8.131,Medium,Millet
29.96,813.44,70.12,6.81,129.54,40.8,140.65,22.2,3.39,43.87,7,9.058,High,Millet
28.56,664.87,60.93,6.5,206.68,55.5,66.81,19.3,3.0,52.72,7,8.982,High,Millet
23.7,1420.48,46.75,7.16,84.08,55.98,95.59,18.57,0.88,50.82,0,6.652,Low,Rice
22.97,642.97,48.18,5.9,119.21,35.26,128.49,11.1,2.46,75.76,3,7.701,Medium,Soybean
26.85,733.34,75.64,5.83,105.08,51.6,99.75,16.92,3.22,38.08,0,8.976,High,Rice
34.04,961.32,65.29,5.96,76.59,18.5,72.49,17.89,3.33,50.77,5,7.91,Medium,Sugarcane
30.26,539.36,62.92,6.04,113.88,98.24,78.32,25.81,1.28,80.32,0,6.997,Low,Rice
24.78,781.3,58.64,7.15,136.69,41.25,59.18,20.75,5.23,36.22,1,8.165,High,Wheat
31.63,995.24,60.42,5.56,140.97,91.72,102.04,24.14,3.35,47.18,3,8.867,High,Soybean
10.0,800.14,80.7,6.0,206.82,60.76,94.16,20.39,3.56,30.83,3,6.778,Low,Soybean
33.89,871.98,59.97,5.07,138.58,71.3,67.14,15.15,4.1,46.23,5,7.672,Medium,Sugarcane
16.56,741.2,44.88,7.31,166.01,50.22,53.95,18.47,2.32,33.3,6,7.069,Low,Barley
24.83,445.66,76.15,7.52,122.64,64.16,46.97,18.94,4.18,60.7,1,7.538,Medium,Wheat
20.28,996.48,61.93,6.24,187.12,73.01,104.66,14.24,2.95,47.21,2,9.076,High,Maize
19.23,1426.48,65.47,6.26,215.94,73.29,83.01,16.46,2.16,30.97,0,8.099,Medium,Rice
33.96,905.52,89.11,6.86,141.24,75.5,85.37,17.18,4.36,57.61,4,8.028,Medium,Cotton
24.19,967.58,64.69,7.68,80.29,52.63,59.43,24.42,5.74,47.69,0,8.014,Medium,Rice
29.08,1107.82,69.34,6.83,98.05,50.39,43.41,9.68,4.59,59.29,7,7.75,Medium,Millet
26.72,519.2,47.32,5.94,131.28,28.12,104.07,22.82,4.88,27.79,0,7.244,Low,Rice
29.86,1410.75,61.7,5.2,138.26,70.46,81.05,14.25,2.72,50.53,2,8.233,High,Maize
27.46,960.7,74.14,5.61,147.94,81.65,102.68,12.51,1.1,56.6,0,8.919,High,Rice
19.3,1389.56,41.67,6.56,138.41,92.32,70.35,22.72,5.74,38.65,1,7.138,Low,Wheat
32.98,680.09,68.01,5.98,120.28,66.1,74.08,20.93,6.58,26.11,1,8.45,High,Wheat
24.04,1445.42,66.51,6.66,94.55,44.67,97.83,23.02,5.81,44.38,3,8.062,Medium,Soybean
17.66,1132.55,65.62,6.06,136.05,26.06,98.31,21.2,3.0,63.42,5,7.399,Low,Sugarcane
24.43,1065.91,80.56,5.65,194.2,80.83,99.94,26.24,1.77,61.89,6,7.87,Medium,Barley
36.0,970.21,70.02,5.56,160.8,24.07,72.62,20.23,1.9,38.57,4,8.267,High,Cotton
32.1,825.44,87.17,7.75,141.39,53.19,95.36,17.37,0.97,25.75,7,7.351,Low,Millet
24.91,1260.16,50.1,7.21,161.18,55.51,107.73,19.37,3.34,38.53,0,8.882,High,Rice
24.9,942.11,67.04,7.88,105.16,58.61,77.38,22.97,5.91,37.97,0,7.97,Medium,Rice
25.07,309.88,66.27,6.93,99.67,60.72,67.16,14.88,3.29,51.7,2,8.211,High,Maize
39.46,564.84,48.96,6.16,90.09,62.76,113.57,15.39,3.95,43.42,5,7.105,Low,Sugarcane
29.29,844.25,79.34,7.56,114.99,11.69,63.64,16.76,5.56,33.7,1,8.291,High,Wheat
29.58,993.0,99.87,6.47,103.12,60.29,95.74,9.58,2.89,61.56,4,7.481,Medium,Cotton
33.18,883.02,64.74,6.68,168.33,15.41,78.54,18.55,6.55,47.11,3,8.455,High,Soybean
28.43,1265.69,72.58,6.47,100.99,74.64,33.96,10.46,6.49,51.53,1,7.652,Medium,Wheat
25.45,314.67,66.27,4.5,87.89,48.9,108.21,18.21,3.3,19.13,7,6.937,Low,Millet
25.82,943.08,54.3,7.78,197.7,16.86,15.0,21.46,2.63,10.0,5,6.549,Low,Sugarcane
26.57,354.61,37.69,6.89,101.94,43.72,30.4,16.09,4.55,23.44,7,6.562,Low,Millet
26.78,1127.91,54.41,6.76,126.14,48.6,93.18,24.71,2.98,37.79,6,7.982,Medium,Barley
31.37,871.66,44.12,6.45,138.05,83.81,93.18,12.16,1.77,53.65,3,7.933,Medium,Soybean
27.31,1025.88,90.56,6.63,74.53,63.93,64.06,22.77,5.42,10.0,6,8.055,Medium,Barley
31.4,640.84,63.27,6.02,169.42,66.89,83.7,20.7,5.32,68.89,2,8.457,High,Maize
26.52,1283.84,59.81,6.99,145.48,83.62,16.71,11.14,3.73,47.56,7,8.046,Medium,Millet
27.47,1212.52,78.34,5.45,182.34,58.08,97.67,28.0,1.61,65.4,2,6.83,Low,Maize
15.01,1075.06,48.17,6.65,92.83,75.08,86.24,17.75,1.66,31.71,0,7.891,Medium,Rice
32.5,861.14,53.5,6.95,123.97,73.68,78.86,14.49,3.66,52.56,6,7.882,Medium,Barley
29.08,1073.96,66.02,6.34,121.57,34.27,80.52,12.37,2.75,46.28,5,9.222,High,Sugarcane
32.99,687.93,80.43,6.8,130.56,89.46,92.33,17.12,2.99,57.27,7,8.085,Medium,Millet
10.0,1156.67,72.53,5.71,61.82,31.59,79.28,17.49,5.03,41.49,4,6.587,Low,Cotton
39.53,1394.84,68.72,5.73,124.43,78.35,33.15,18.41,4.6,52.1,3,6.453,Low,Soybean
26.16,1221.18,66.17,6.69,62.94,29.66,134.91,16.81,5.57,61.53,1,7.958,Medium,Wheat
33.65,681.12,71.0,7.04,134.33,72.02,110.02,20.53,2.01,35.23,5,8.888,High,Sugarcane
20.76,1008.43,68.02,5.0,34.85,97.24,47.88,16.45,2.99,48.63,5,8.054,Medium,Sugarcane
30.68,512.06,49.55,6.92,45.94,55.74,71.37,10.26,4.64,16.68,2,7.062,Low,Maize
20.68,1071.72,65.69,6.07,152.74,54.87,74.1,17.4,4.17,55.54,6,7.947,Medium,Barley
23.26,1035.18,48.89,6.35,98.13,72.21,106.97,8.53,5.8,74.32,7,7.34,Low,Millet
38.48,339.06,66.22,5.43,80.49,53.41,26.02,19.42,4.13,26.33,7,6.041,Low,Millet
25.86,551.46,57.79,5.82,170.83,96.37,67.52,14.08,6.27,43.63,0,8.493,High,Rice
28.3,815.06,100.0,7.27,133.11,63.84,35.98,18.65,4.31,58.21,0,7.692,Medium,Rice
32.22,809.74,64.4,6.53,154.88,53.6,72.87,23.26,5.09,45.47,3,8.832,High,Soybean
29.97,537.16,43.94,6.19,113.35,49.19,68.19,14.21,3.01,47.48,2,7.959,Medium,Maize
27.9,1016.69,62.99,6.41,227.19,41.34,81.99,22.25,3.52,39.14,5,8.632,High,Sugarcane
29.19,975.44,72.79,6.89,95.82,47.44,64.88,16.27,4.87,38.58,7,8.14,High,Millet
41.42,841.72,90.1,6.85,189.78,52.99,61.22,25.01,5.92,43.7,4,6.951,Low,Cotton
26.65,673.26,56.16,6.44,117.55,50.25,95.49,16.54,4.59,45.63,2,9.746,High,Maize
28.21,1214.61,41.26,7.37,53.82,46.84,91.37,14.64,3.38,27.28,3,7.119,Low,Soybean
33.3,1396.62,77.25,7.28,139.31,101.98,93.78,20.75,5.57,44.01,3,7.621,Medium,Soybean
33.63,754.93,44.29,6.83,132.59,39.4,75.58,16.26,0.5,68.53,2,8.027,Medium,Maize
34.12,716.35,58.46,6.54,77.95,62.93,65.71,14.63,1.37,38.71,3,7.63,Medium,Soybean
30.83,1047.36,61.14,7.03,83.11,71.85,77.03,16.09,4.52,26.44,2,8.154,High,Maize
20.14,792.59,63.96,6.75,119.01,72.6,92.53,17.82,3.52,42.73,1,8.328,High,Wheat
36.8,858.18,75.34,7.35,133.99,58.83,25.58,23.37,4.41,34.28,2,7.533,Medium,Maize
20.12,1121.9,54.75,7.22,21.17,55.19,89.85,10.26,3.6,24.92,6,7.288,Low,Barley
28.82,327.19,60.89,5.69,162.12,69.03,87.73,18.09,4.36,47.09,2,7.986,Medium,Maize
22.47,1295.49,64.79,5.63,100.22,65.33,81.55,20.5,2.28,34.35,3,7.435,Low,Soybean
26.62,921.8,67.24,5.94,66.73,54.82,76.27,18.77,4.36,35.63,7,8.684,High,Millet
28.97,776.55,66.47,7.28,157.64,28.76,15.85,23.24,4.99,47.3,6,8.011,Medium,Barley
28.93,873.23,71.54,5.24,119.06,50.64,69.0,17.7,5.33,22.0,3,7.668,Medium,Soybean
29.53,888.73,77.66,6.82,168.65,37.07,124.74,17.26,6.52,18.88,0,8.474,High,Rice
36.68,380.64,70.89,6.79,137.52,46.66,80.32,20.37,3.87,55.06,0,7.181,Low,Rice
29.72,1348.48,71.8,7.43,119.94,60.66,72.32,18.4,3.91,16.04,7,7.425,Low,Millet
25.54,912.4,41.27,6.64,113.89,67.17,80.42,16.44,1.22,30.35,7,8.607,High,Millet
32.78,1032.9,65.75,5.43,139.31,95.61,88.87,20.06,2.7,18.0,6,7.779,Medium,Barley
34.14,1185.46,72.19,5.73,103.46,49.25,96.47,15.39,3.21,37.71,1,7.71,Medium,Wheat
19.63,593.65,75.93,5.55,85.9,75.49,74.28,15.56,5.08,51.42,7,7.081,Low,Millet
30.58,1042.04,54.61,6.07,144.4,66.12,90.62,15.89,2.58,46.69,0,8.869,High,Rice
31.21,819.71,55.11,6.35,114.22,85.92,121.92,23.41,4.69,80.88,2,7.621,Medium,Maize
25.21,1154.03,56.39,5.57,121.34,71.52,105.16,8.0,3.5,61.3,3,6.896,Low,Soybean
35.25,261.83,73.05,7.68,163.58,39.83,138.51,19.58,3.23,31.03,0,6.692,Low,Rice
26.1,870.27,80.51,5.44,115.44,25.54,63.58,18.14,3.87,27.04,0,7.898,Medium,Rice
27.75,719.15,58.89,7.58,120.6,66.23,121.9,11.28,2.91,85.6,1,7.319,Low,Wheat
25.96,1029.68,78.62,7.45,96.01,49.43,60.23,19.24,2.86,60.94,6,8.505,High,Barley
27.09,1041.01,66.85,7.22,137.23,40.39,88.84,19.9,0.94,53.84,6,8.404,High,Barley
20.42,687.71,63.14,5.94,133.99,34.65,98.31,20.36,3.13,46.12,5,8.248,High,Sugarcane
18.36,686.35,61.83,6.77,156.03,63.22,67.23,8.0,2.78,49.1,1,6.589,Low,Wheat
36.57,866.8,76.2,5.48,96.83,90.15,82.2,23.47,2.73,22.77,2,7.478,Medium,Maize
21.92,631.01,69.88,7.23,101.69,51.83,102.76,15.05,4.13,47.36,6,7.672,Medium,Barley
21.05,1152.6,99.14,6.44,151.69,71.81,62.24,20.75,4.49,46.07,3,7.697,Medium,Soybean
14.08,789.24,52.22,6.17,130.09,57.95,121.73,20.96,3.85,31.44,7,7.865,Medium,Millet
23.17,200.0,72.77,5.52,83.75,34.21,45.39,14.49,4.99,36.92,1,6.658,Low,Wheat
19.06,787.55,57.06,4.52,172.26,74.7,128.49,20.64,4.36,67.73,7,6.647,Low,Millet
36.85,588.44,51.96,5.67,52.06,38.11,105.03,16.46,3.06,43.12,0,7.446,Low,Rice
33.06,410.62,64.84,7.39,151.37,60.43,77.76,9.71,2.81,76.07,3,6.344,Low,Soybean
22.87,528.77,67.06,6.18,69.39,53.17,69.93,22.67,3.97,18.89,3,7.057,Low,Soybean
40.51,932.82,100.0,6.36,195.43,77.86,67.32,14.9,4.36,37.17,0,7.001,Low,Rice
32.89,1298.59,62.24,7.02,58.22,38.84,76.61,14.58,5.6,21.79,1,6.934,Low,Wheat
25.05,993.96,48.05,7.94,166.09,67.82,78.79,16.39,5.29,26.86,0,7.914,Medium,Rice
12.0,718.05,69.1,7.56,116.73,43.2,111.38,19.09,2.69,32.58,7,6.201,Low,Millet
40.75,1036.77,33.88,5.72,105.34,49.78,129.22,17.77,3.35,49.73,5,6.929,Low,Sugarcane
18.66,762.27,63.62,4.95,127.42,10.0,84.98,20.19,4.51,49.0,3,7.951,Medium,Soybean
17.13,691.62,65.24,8.39,145.28,101.84,58.86,12.64,5.1,34.81,4,6.358,Low,Cotton
33.14,553.69,76.92,8.32,83.82,71.01,66.36,15.03,4.91,11.58,4,6.019,Low,Cotton
41.64,374.45,79.6,6.65,87.37,44.65,75.42,17.54,3.4,67.17,7,5.529,Low,Millet
35.31,783.02,57.45,5.48,145.98,37.51,54.25,25.59,1.62,40.71,2,7.341,Low,Maize
30.38,947.42,62.74,7.27,51.71,50.09,50.53,17.54,2.0,28.26,6,8.672,High,Barley
30.57,871.01,53.51,6.41,96.63,74.34,132.43,22.34,3.91,49.12,0,9.213,High,Rice
32.12,775.21,48.08,6.41,241.63,22.16,87.57,18.15,4.01,48.07,0,8.285,High,Rice
31.55,616.28,69.65,7.22,81.28,57.17,59.17,16.07,1.85,40.16,2,8.281,High,Maize
28.69,1082.47,45.9,6.77,165.91,95.41,100.42,17.01,3.57,47.23,2,9.523,High,Maize
27.63,504.86,58.78,5.55,96.56,37.32,50.54,17.33,4.45,27.67,7,7.823,Medium,Millet
26.62,1132.81,50.07,6.24,140.36,61.61,52.6,20.41,1.77,56.4,7,8.681,High,Millet
22.48,599.33,73.25,7.03,146.17,104.07,59.92,23.5,5.16,30.05,2,7.678,Medium,Maize
25.32,674.27,92.02,6.91,165.16,72.64,121.36,19.44,2.93,35.92,3,8.668,High,Soybean
16.84,459.96,45.48,6.71,111.99,62.52,73.68,22.75,5.39,54.73,7,7.122,Low,Millet
26.41,749.58,37.2,7.25,199.56,70.13,18.96,14.14,2.7,63.06,5,8.044,Medium,Sugarcane
21.07,1192.59,63.13,6.21,96.43,51.98,110.25,16.34,1.96,68.79,7,7.328,Low,Millet
20.38,1054.69,65.24,6.64,129.37,85.99,72.34,15.1,2.81,60.84,0,8.065,Medium,Rice
28.08,1193.53,68.28,4.5,129.81,52.01,33.76,19.26,3.36,40.14,7,8.04,Medium,Millet
35.35,1056.64,58.31,6.14,75.12,20.82,72.08,16.56,2.92,21.88,3,7.541,Medium,Soybean
32.51,568.9,61.99,7.11,108.57,52.17,93.03,20.92,3.18,66.08,2,7.611,Medium,Maize
17.58,800.76,70.51,6.19,126.46,40.67,90.1,14.28,4.0,65.56,0,7.295,Low,Rice
21.06,665.94,80.61,6.13,102.72,54.38,124.96,18.17,3.24,34.92,7,8.649,High,Millet
32.64,1299.17,35.67,5.67,217.64,54.82,58.68,20.75,3.4,58.82,3,7.781,Medium,Soybean
21.11,540.96,59.47,7.3,86.46,83.95,81.17,9.74,0.94,40.02,5,7.608,Medium,Sugarcane
25.65,1168.11,68.21,6.94,167.18,73.91,62.51,26.49,4.09,67.52,7,8.097,Medium,Millet
30.3,1167.89,51.23,7.16,154.26,65.27,41.45,16.87,3.37,37.28,3,8.188,High,Soybean
21.19,1448.89,90.97,5.12,119.45,59.94,102.14,9.9,5.92,74.68,5,5.195,Low,Sugarcane
27.63,777.09,55.47,6.37,85.39,38.82,91.58,18.63,2.09,56.79,2,8.74,High,Maize
19.0,1113.7,64.38,6.28,89.27,16.38,87.09,18.13,0.79,71.96,7,7.425,Low,Millet
23.39,1584.5,73.34,6.28,99.28,62.26,90.67,17.67,4.43,38.04,5,8.1,Medium,Sugarcane
28.92,714.71,56.13,6.01,48.57,75.89,62.86,21.96,4.02,51.08,0,8.842,High,Rice
17.44,439.49,37.3,6.22,79.86,57.83,54.86,20.99,1.99,30.46,2,6.659,Low,Maize
29.64,336.0,58.57,7.18,60.7,49.3,80.94,19.19,1.21,57.66,0,6.966,Low,Rice
26.88,1113.81,80.44,4.97,173.84,69.29,109.03,19.8,5.81,58.49,4,7.472,Medium,Cotton
30.31,335.05,59.95,7.92,144.74,58.33,120.2,17.58,5.62,80.96,1,6.7,Low,Wheat
28.34,788.3,52.3,6.89,151.44,93.71,99.89,25.1,0.5,52.23,7,8.826,High,Millet
35.18,1031.19,78.89,6.47,143.55,84.65,80.73,12.08,2.81,55.86,5,7.737,Medium,Sugarcane
27.75,955.55,60.04,7.23,126.68,79.19,86.74,18.56,6.0,37.94,1,9.672,High,Wheat
24.42,1027.63,57.35,5.34,178.43,75.15,80.29,18.26,2.79,53.12,1,8.22,High,Wheat
27.73,966.69,67.24,5.97,95.57,34.2,54.35,21.25,2.76,39.3,5,8.232,High,Sugarcane
30.26,1283.66,76.56,6.4,124.27,73.26,80.62,14.62,3.08,46.74,2,8.001,Medium,Maize
27.29,614.31,100.0,7.59,149.88,67.53,46.63,11.03,1.82,47.62,7,6.997,Low,Millet
27.24,696.9,77.41,6.46,67.15,72.13,76.9,18.63,0.94,39.72,4,9.003,High,Cotton
22.79,668.2,82.4,6.86,243.86,69.85,120.9,19.12,5.08,45.94,0,8.69,High,Rice
23.02,1149.06,57.41,6.03,121.14,69.06,100.57,23.96,0.74,39.37,3,7.6,Medium,Soybean
18.58,1170.12,49.61,6.89,125.68,114.02,56.92,12.92,3.87,39.3,0,7.907,Medium,Rice
37.5,1035.37,65.93,7.84,170.28,58.48,78.19,22.62,4.83,61.15,3,6.284,Low,Soybean
19.54,1255.05,66.61,7.3,156.6,78.73,59.14,27.47,1.32,47.63,0,6.561,Low,Rice
22.84,546.59,48.82,6.43,121.52,50.58,78.44,16.49,2.11,50.21,5,7.6,Medium,Sugarcane
22.69,1400.17,62.37,7.04,125.21,75.81,106.03,12.84,5.32,23.14,4,7.273,Low,Cotton
32.37,1356.97,70.99,6.96,59.83,78.79,96.33,16.37,4.3,51.35,7,7.878,Medium,Millet
25.23,1120.69,70.41,6.91,97.74,67.29,142.1,18.06,2.57,52.96,3,9.592,High,Soybean
34.49,1434.54,72.56,7.39,140.69,93.38,109.81,20.26,5.3,39.02,7,7.622,Medium,Millet
22.96,403.01,69.36,7.38,137.76,42.31,85.1,15.63,5.31,76.28,7,7.415,Low,Millet
28.67,742.67,57.39,6.4,168.85,50.26,96.93,24.22,3.9,10.66,7,7.905,Medium,Millet
21.99,679.41,57.29,7.01,115.18,64.25,74.94,13.54,2.15,56.77,6,7.685,Medium,Barley
39.87,1116.44,47.02,6.19,64.51,77.62,51.81,11.04,2.88,55.69,2,6.569,Low,Maize
19.87,584.96,91.77,5.76,162.27,63.59,112.64,22.43,3.93,53.12,0,7.563,Medium,Rice
28.86,1127.25,65.2,6.28,177.44,85.72,105.22,8.9,3.22,47.64,7,8.57,High,Millet
30.8,1311.16,61.63,6.44,155.93,46.77,73.97,17.18,4.91,53.26,0,8.061,Medium,Rice
29.48,1108.56,51.07,5.17,113.45,37.19,86.85,28.0,1.21,58.02,7,7.161,Low,Millet
25.89,985.13,100.0,7.19,161.78,66.16,111.02,17.95,1.26,34.11,3,8.154,High,Soybean
26.22,603.64,48.9,4.5,250.0,58.46,101.16,13.52,3.77,49.49,2,7.261,Low,Maize
27.26,645.94,58.57,8.67,124.61,70.86,43.42,17.77,2.76,42.25,2,7.371,Low,Maize
26.12,1274.89,71.24,7.7,67.53,59.45,86.09,17.8,2.56,28.59,5,7.687,Medium,Sugarcane
32.78,1133.8,74.0,6.29,96.55,53.2,75.81,18.64,0.85,55.76,6,7.814,Medium,Barley
40.26,888.29,79.37,6.51,145.02,58.5,107.83,20.65,3.53,36.53,5,7.446,Low,Sugarcane
23.66,774.63,92.11,6.74,55.81,60.58,105.78,13.84,3.42,22.53,5,8.097,Medium,Sugarcane
18.78,292.26,72.59,6.03,126.78,53.9,112.97,24.75,4.48,36.91,5,6.202,Low,Sugarcane
26.47,578.74,49.16,6.65,135.21,55.94,52.05,18.98,3.6,33.02,5,8.167,High,Sugarcane
42.48,1473.43,61.15,6.38,181.4,51.93,60.4,20.91,3.3,60.43,5,6.166,Low,Sugarcane
22.18,515.86,69.62,6.42,172.41,77.13,107.85,15.49,5.27,47.3,4,8.48,High,Cotton
36.83,956.84,96.02,6.65,154.58,63.88,65.21,23.15,1.53,65.74,2,6.791,Low,Maize
37.07,1202.23,44.03,5.45,33.49,105.14,41.96,16.97,4.3,35.0,5,7.127,Low,Sugarcane
23.68,523.52,83.04,6.53,156.84,63.21,93.31,19.11,0.99,58.11,7,8.369,High,Millet
30.41,955.41,67.7,6.63,148.22,48.98,66.32,14.27,2.24,87.59,2,8.261,High,Maize
36.77,1181.37,77.57,6.6,130.24,113.41,124.74,14.01,1.68,50.34,2,7.776,Medium,Maize
24.73,903.75,63.47,6.33,50.79,68.27,87.4,20.75,4.67,57.92,1,8.561,High,Wheat
25.78,1760.52,52.36,7.41,88.93,79.8,84.01,16.23,3.4,55.4,4,6.835,Low,Cotton
23.51,399.42,76.26,6.22,73.33,71.84,70.77,14.58,3.48,23.67,5,7.413,Low,Sugarcane
20.91,1217.62,74.82,6.68,39.4,72.46,119.77,15.43,1.84,53.79,0,7.875,Medium,Rice
23.1,848.16,79.58,7.54,119.88,70.71,88.96,20.8,3.05,49.6,3,8.167,High,Soybean
19.66,1131.58,64.8,6.44,88.09,37.96,69.79,15.48,2.35,41.1,6,7.866,Medium,Barley
27.2,1032.39,56.0,6.67,225.01,67.35,60.15,17.53,4.08,31.74,7,8.799,High,Millet
22.38,680.05,41.62,6.42,113.25,33.5,78.16,18.06,2.01,55.41,0,8.219,High,Rice
28.4,968.7,77.29,7.49,171.75,56.51,55.56,10.33,5.49,30.41,4,7.292,Low,Cotton
17.66,342.63,71.36,6.29,57.24,45.49,105.72,12.12,0.99,77.0,3,5.962,Low,Soybean
28.99,1080.97,50.51,7.53,98.8,67.15,34.79,19.35,2.29,46.71,4,8.538,High,Cotton
32.0,989.45,56.92,6.42,123.88,66.68,76.51,15.05,6.02,26.65,7,8.127,Medium,Millet
15.04,1091.6,58.0,5.81,83.67,69.62,95.25,22.23,2.85,37.29,2,7.868,Medium,Maize
29.24,1217.44,42.76,7.04,103.11,65.75,88.55,21.87,1.53,40.83,3,8.052,Medium,Soybean
34.37,1010.29,52.73,6.26,111.28,47.86,62.07,20.88,3.83,81.19,2,6.759,Low,Maize
19.74,944.43,47.99,7.0,110.64,54.78,96.51,25.28,2.79,31.73,7,7.355,Low,Millet
37.04,635.68,58.81,4.5,194.2,78.41,57.85,17.67,2.25,43.26,0,7.005,Low,Rice
29.51,686.33,53.92,6.5,135.13,81.36,79.44,20.6,1.86,36.93,7,8.905,High,Millet
22.77,1256.02,40.59,6.13,139.18,37.06,96.3,15.66,7.65,52.49,0,7.786,Medium,Rice
26.67,1330.9,95.34,5.65,141.59,29.38,91.57,27.81,3.12,37.17,3,6.356,Low,Soybean
30.35,828.57,83.79,6.06,144.51,45.46,63.12,25.93,0.61,27.91,3,7.275,Low,Soybean
27.46,913.8,53.31,6.04,116.68,80.9,109.94,18.05,5.74,42.07,5,8.956,High,Sugarcane
30.23,628.62,69.09,6.46,107.17,84.3,82.17,19.55,4.42,40.51,4,8.529,High,Cotton
21.48,1251.83,71.26,5.41,126.67,41.51,98.57,23.44,2.35,36.12,5,6.886,Low,Sugarcane
28.02,1099.63,82.87,6.75,166.27,66.15,118.23,17.41,2.1,36.92,4,8.663,High,Cotton
18.52,1482.37,52.72,7.59,165.05,96.69,107.94,15.37,4.51,62.77,5,6.821,Low,Sugarcane
26.33,636.5,81.38,6.72,110.38,68.31,108.0,21.5,3.13,40.2,2,9.145,High,Maize
21.58,786.6,56.78,7.15,150.71,88.43,84.82,18.31,0.61,27.99,3,8.671,High,Soybean
22.59,969.43,44.96,7.38,112.22,79.97,99.85,18.73,6.18,38.07,0,8.891,High,Rice
34.42,1093.95,75.86,7.49,121.35,41.8,85.34,14.66,2.85,45.82,4,8.033,Medium,Cotton
33.55,835.3,84.36,8.0,101.06,56.2,49.77,11.13,5.74,24.96,7,6.886,Low,Millet
30.65,638.11,100.0,6.1,112.73,60.7,87.57,18.94,5.42,69.39,4,7.436,Low,Cotton
20.45,1164.42,47.0,5.93,173.65,62.08,86.41,21.62,2.0,58.01,0,7.788,Medium,Rice
25.1,1116.34,75.48,7.13,123.7,78.33,94.59,17.1,5.05,66.45,5,8.201,High,Sugarcane
34.28,625.12,58.85,7.07,125.41,68.17,76.8,23.75,2.52,50.88,4,7.521,Medium,Cotton
27.85,1306.63,76.75,7.12,62.11,10.0,60.96,15.18,0.7,13.59,6,7.088,Low,Barley
40.92,1251.06,42.94,8.01,107.63,33.74,96.41,13.78,2.86,68.03,2,5.598,Low,Maize
29.36,940.29,46.06,6.51,110.35,16.25,47.17,17.73,4.1,32.05,3,8.615,High,Soybean
28.15,923.88,53.36,6.84,86.83,63.51,116.47,17.67,2.81,33.27,0,8.893,High,Rice
25.15,1066.22,66.18,5.72,120.87,64.81,74.21,21.08,3.04,47.34,3,8.649,High,Soybean
27.8,641.49,55.38,8.21,102.83,65.66,86.14,14.9,5.22,65.67,6,7.563,Medium,Barley
26.09,909.01,74.89,6.23,123.2,40.82,93.96,23.47,3.66,60.8,4,8.629,High,Cotton
31.25,254.28,80.4,6.25,124.86,73.48,94.77,25.87,2.24,58.59,4,6.201,Low,Cotton
32.74,1162.94,73.99,6.22,81.77,74.33,44.78,17.84,4.55,40.32,7,7.862,Medium,Millet
22.28,431.55,89.28,5.98,104.05,34.9,100.6,23.0,3.8,40.09,6,7.569,Medium,Barley
19.01,1351.03,71.24,5.92,123.09,30.68,87.58,13.77,0.5,50.19,0,7.1,Low,Rice
15.98,800.96,46.75,6.08,167.37,60.0,64.12,22.3,4.14,43.05,7,7.354,Low,Millet
30.05,836.5,85.45,5.41,130.27,95.84,61.26,22.19,4.09,58.34,2,7.918,Medium,Maize
20.38,711.68,55.92,5.87,93.52,93.99,71.65,21.45,3.53,57.45,7,7.865,Medium,Millet
14.08,813.59,78.66,8.06,135.96,71.27,47.53,17.94,4.84,53.87,1,7.016,Low,Wheat
29.33,1325.56,88.61,7.09,188.3,45.4,123.06,8.0,2.49,10.0,0,6.013,Low,Rice
41.96,200.0,71.85,7.24,156.67,77.74,117.15,15.43,4.0,46.92,1,6.19,Low,Wheat
26.96,1283.09,42.56,7.44,141.9,50.95,91.29,15.5,1.15,43.37,6,7.986,Medium,Barley
